replicate,cycle,fluorescence
10,26,99514539.55800319
10,27,99927797.55420059
10,28,99989714.8712169
10,29,99998612.6673944
10,30,99999872.67703672
10,31,100000013.32721741
10,32,100000054.56919783
10,33,100000059.59916101
10,34,100000053.4056628
10,35,100000064.56850334
11,0,145.30401843209123
11,1,219.44357907259118
11,2,379.1796353673119
11,3,630.6736456507649
11,4,1113.6886210552068
11,5,2017.768286360125
11,6,3669.336864075373
11,7,6728.352410133431
11,8,12347.125230646876
11,9,22781.309965559878
11,10,42042.793955117144
11,11,77654.71600417132
11,12,143579.03062557583
11,13,265533.8349904852
11,14,491024.1217593959
11,15,906958.4956886709
11,16,1672419.212478167
11,17,3073539.703123576
11,18,5614913.219779513
11,19,10136659.649959348
11,20,17914684.283849712
11,21,30473248.222253885
11,22,48581523.21849336
11,23,69937226.4794735
11,24,87924048.2238511
11,25,97010740.28781493
11,26,99490246.28627707
11,27,99924431.71771465
11,28,99989154.77881788
11,29,99998588.23157762
11,30,99999843.21288925
11,31,100000026.53140232
11,32,100000042.92133987
11,33,100000055.03757949
11,34,100000049.25558016
11,35,100000044.38829155
12,0,136.06524682692736
12,1,215.34211334088943
12,2,363.7857050576724
12,3,615.7386193936893
12,4,1093.3092763706147
12,5,1958.9664859004708
12,6,3574.562554653337
12,7,6589.577389862623
12,8,12127.915051989592
12,9,22332.23242117049
12,10,41286.72078116057
12,11,76318.51995529074
12,12,140989.18454855663
12,13,260801.74004673195
12,14,482327.14086047525
12,15,890952.2912505887
12,16,1642312.545133508
12,17,3019600.020808867
12,18,5516982.943440534
12,19,9963992.425514031
12,20,17619058.2368958
12,21,30013950.94764242
12,22,47958623.658375084
12,23,69293893.4778126
12,24,87486333.99137135
12,25,96849187.21281393
12,26,99459848.31374271
12,27,99917466.1110556
12,28,99988113.04852909
12,29,99998182.24849652
12,30,99999748.63334544
12,31,100000000.10301228
12,32,100000059.68410219
12,33,100000065.87654646
12,34,100000066.03515716
12,35,100000066.66485846
13,0,143.67271819318356
13,1,214.9642107884012
13,2,353.9415533587586
13,3,607.5333212146514
13,4,1080.1228424386325
13,5,1950.0229584477786
13,6,3569.2708927938043
13,7,6540.030214053056
13,8,12068.285112601103
13,9,22248.62507775214
13,10,41032.141257381394
13,11,75857.56737516784
13,12,140512.39200015753
13,13,260065.8952549742
13,14,480890.1223089113
13,15,888767.0025028334
13,16,1640000.915287944
13,17,3016257.597572056
13,18,5512721.13935501
13,19,9960443.515865004
13,20,17620248.893489562
13,21,30027356.869718872
13,22,47992129.45914375
13,23,69346431.70354004
13,24,87541163.66753243
13,25,96872546.21279213
13,26,99467742.21806763
13,27,99921170.46679965
13,28,99988537.28034984
13,29,99998515.14556648
13,30,99999884.6305778
13,31,100000043.75293565
13,32,100000037.80310617
13,33,100000053.24202895
13,34,100000048.89013448
13,35,100000046.62269098
14,0,144.50192020237458
14,1,209.2804833456652
14,2,352.6002345772703
14,3,623.517979524067
14,4,1124.2788460146014
14,5,2057.8307355301067
14,6,3729.4076082863453
14,7,6841.088876868317
14,8,12587.319187789275
14,9,23222.855134076115
14,10,42804.136547483824
14,11,78959.11116584494
14,12,145800.26954274342
14,13,269512.84478887013
14,14,497645.9053610156
14,15,918630.568270091
14,16,1692513.3833449373
14,17,3108255.2882254818
14,18,5673047.221466607
14,19,10231199.38280023
14,20,18057594.402807605
14,21,30672645.8182529
14,22,48813482.17943787
14,23,70136572.23950376
14,24,88014073.78627211
14,25,97023581.59811054
14,26,99489306.83668281
14,27,99922845.31240885
14,28,99989008.15283938
14,29,99998540.95800243
14,30,99999892.77666055
14,31,100000031.20239522
14,32,100000057.98880814
14,33,100000049.30459993
14,34,100000048.59521157
14,35,100000059.37201303
15,0,145.42659330619847
15,1,222.87203940241446
15,2,349.6746872386985
15,3,594.0887048713432
15,4,1048.7350623201842
15,5,1881.2423277661367
15,6,3386.7634066314868
15,7,6247.879537931547
15,8,11478.004351171552
15,9,21115.124381357768
15,10,38898.939942970756
15,11,71604.79010199988
15,12,132161.70931330122
15,13,244075.11336360485
15,14,450779.2358460327
15,15,831443.0367731951
15,16,1531528.4447970132
15,17,2813965.1020360054
15,18,5139866.588617077
15,19,9286467.689247364
15,20,16456035.706633471
15,21,28163553.66091286
15,22,45403959.11826298
15,23,66528614.090199
15,24,85514316.00731249
15,25,96075252.3340158
15,26,99290729.15209714
15,27,99891010.3001697
15,28,99983986.16675718
15,29,99997630.15293063
15,30,99999724.36753799
15,31,99999998.35911559
15,32,100000044.34260684
15,33,100000046.37111835
15,34,100000049.24810447
15,35,100000049.73033367
16,0,139.69279823497664
16,1,226.7245469935968
16,2,358.623709173614
16,3,623.0087208813895
16,4,1094.8843653297142
16,5,1941.2560670590033
16,6,3574.9468665045015
16,7,6544.537593542673
16,8,12068.832439988302
16,9,22214.45762386581
16,10,40940.961180039616
16,11,75662.21010024105
16,12,140028.73863840225
16,13,258982.8577180679
16,14,478404.04701715085
16,15,883633.8311854219
16,16,1629491.221723468
16,17,2995456.215401516
16,18,5472220.805781426
16,19,9884565.472234204
16,20,17488485.58029798
16,21,29811248.533602584
16,22,47685418.79849807
16,23,68995079.99948597
16,24,87276980.16952509
16,25,96774516.84832504
16,26,99443902.09484099
16,27,99918792.70971633
16,28,99988513.58081551
16,29,99998430.34631345
16,30,99999832.45972209
16,31,100000005.1475951
16,32,100000053.6938497
16,33,100000061.35530494
16,34,100000059.95797452
16,35,100000052.3250866
17,0,137.28670951584417
17,1,210.95060863467063
17,2,369.5934254239264
17,3,604.0714403029017
17,4,1060.7353541647296
17,5,1907.5262017955129
17,6,3485.3741759467916
17,7,6376.575751662728
17,8,11725.788249984676
17,9,21623.43640026263
17,10,39790.77999552504
17,11,73537.84914972325
17,12,135881.5013693341
17,13,251177.00711071925
17,14,464211.15318125737
17,15,856734.7020417188
17,16,1579366.4749734781
17,17,2902609.267975787
17,18,5302959.868077068
17,19,9584229.816475626
17,20,16974044.784486685
17,21,28994587.237685714
17,22,46567455.140281595
17,23,67811331.39438066
17,24,86453586.40196933
17,25,96461103.21936756
17,26,99374411.77401039
17,27,99905732.97221307
17,28,99986204.3621522
17,29,99997835.93190046
17,30,99999685.07994384
17,31,99999969.55870709
17,32,100000036.86463629
17,33,100000045.98633938
17,34,100000047.5339321
17,35,100000050.80746095
18,0,143.86566910184553
18,1,227.861978944425
18,2,379.17751002186753
18,3,649.6091016891288
18,4,1147.2635924459792
18,5,2083.7298065265554
18,6,3794.536747532874
18,7,6950.593566093392
18,8,12830.991377020811
18,9,23729.339043898275
18,10,43726.41405961145
18,11,80774.3486116033
18,12,149375.65461930935
18,13,276046.1830519554
18,14,510103.39935147384
18,15,941882.1906182488
18,16,1735970.7869958025
18,17,3189367.867619907
18,18,5821273.934614187
18,19,10496958.123362456
18,20,18509422.45128482
18,21,31385081.271273542
18,22,49775810.54203416
18,23,71128165.45256548
18,24,88668436.58099319
18,25,97260400.75273705
18,26,99537332.81030476
18,27,99930103.0834113
18,28,99990219.70926422
18,29,99998644.47101878
18,30,99999898.3402872
18,31,100000011.97280711
18,32,100000047.47328082
18,33,100000040.02274749
18,34,100000053.2607161
18,35,100000048.56728034
19,0,143.43149675973405
19,1,217.37094036111478
19,2,350.590407034204
19,3,597.8792209244025
19,4,1060.5253476509245
19,5,1931.2566576787574
19,6,3517.0957575081457
19,7,6433.092592313378
19,8,11841.6815995508
19,9,21816.843901149397
19,10,40271.400172728594
19,11,74395.8785130088
19,12,137632.6526904375
19,13,254473.2214606646
19,14,470354.92890841025
19,15,868888.9458526883
19,16,1602648.2607202623
19,17,2946591.973521913
19,18,5385126.788154677
19,19,9731846.970141785
19,20,17229464.35114803
19,21,29411545.999541182
19,22,47149114.29475066
19,23,68448178.91991434
19,24,86916311.06778884
19,25,96645185.73123932
19,26,99418254.3042625
19,27,99912495.65727733
19,28,99987070.49458924
19,29,99998239.9762892
19,30,99999731.95337181
19,31,100000009.59016632
19,32,100000055.86276112
19,33,100000060.75193608
19,34,100000055.70743948
19,35,100000054.39563991
20,0,146.25104753123247
20,1,227.2015536088771
20,2,360.2468342449995
20,3,612.9407288744999
20,4,1088.9570775131963
20,5,1943.3341351938498
20,6,3559.46425006063
20,7,6588.089596931104
20,8,12085.299422377087
20,9,22292.16318657713
20,10,41253.77094180958
20,11,76268.98183100457
20,12,140942.93673930116
20,13,260554.32705329542
20,14,481625.7062374766
20,15,889485.5573768535
20,16,1639879.5843880218
20,17,3012888.952119759
20,18,5502069.052085523
20,19,9932398.716840997
20,20,17558316.78071149
20,21,29903382.510916494
20,22,47786192.20086907
20,23,69077901.4633893
20,24,87311107.53668614
20,25,96771279.19952177
20,26,99440969.99483871
20,27,99916671.91457097
20,28,99987812.34345144
20,29,99998148.06685303
20,30,99999819.90428999
20,31,100000017.76621047
20,32,100000054.2712893
20,33,100000050.21048802
20,34,100000049.40232791
20,35,100000052.28103943
21,0,148.29553346072782
21,1,224.11997159289612
21,2,350.48384444483156
21,3,598.7367975402304
21,4,1034.5753496345467
21,5,1902.284139601911
21,6,3449.318310760536
21,7,6357.438480309617
21,8,11638.67780747559
21,9,21500.226833333374
21,10,39762.20477818087
21,11,73460.7768194939
21,12,135879.80925703034
21,13,251210.50105213592
21,14,464302.25485000125
21,15,857022.4086815164
21,16,1580477.8847965228
21,17,2905265.165724408
21,18,5307518.417067396
21,19,9590149.532320037
21,20,16983452.59329126
21,21,29010791.860481326
21,22,46577737.01911479
21,23,67812660.03284506
21,24,86456324.52289945
21,25,96458346.95061336
21,26,99379798.53140767
21,27,99905757.49266231
21,28,99986621.70423993
21,29,99998126.10341066
21,30,99999692.87117527
21,31,100000053.6014313
21,32,100000042.05557503
21,33,100000055.2028153
21,34,100000047.71860921
21,35,100000058.84650657
22,0,150.04913102037986
22,1,223.12283211928485
22,2,372.4984965595998
22,3,651.8658363602498
22,4,1157.3036591875225
22,5,2072.4441257447065
22,6,3765.1411614136687
22,7,6917.715719219312
22,8,12736.234922457788
22,9,23529.425382561287
22,10,43481.103856919035
22,11,80327.92961811674
22,12,148487.39503047557
22,13,274285.03860962245
22,14,506622.7252957311
22,15,934844.1674002085
22,16,1722280.3362540673
22,17,3161508.4825773025
22,18,5766509.314941359
22,19,10393177.014700113
22,20,18325769.519335844
22,21,31081551.907282915
22,22,49345433.05299486
22,23,70662358.80075228
22,24,88350681.73533766
22,25,97138494.05623947
22,26,99511696.6241988
22,27,99926940.34275949
22,28,99989262.70032597
22,29,99998412.76108082
22,30,99999829.89712688
22,31,100000028.10419688
22,32,100000050.25320023
22,33,100000056.9488469
22,34,100000040.60546578
22,35,100000048.44838043
23,0,136.80654162666843
23,1,220.4938488931725
23,2,355.3519760170773
23,3,617.7913201376672
23,4,1081.9559684818466
23,5,1970.4861918981806
23,6,3576.706762991136
23,7,6605.465387464847
23,8,12143.01538447881
23,9,22453.252499976566
23,10,41473.60908176233
23,11,76744.80200449015
23,12,141964.21561624712
23,13,262526.9051372319
23,14,485838.60877078795
23,15,897915.0583967012
23,16,1657216.5739384077
23,17,3047506.666184685
23,18,5569802.375120166
23,19,10059721.484804193
23,20,17791191.02088452
23,21,30293238.549463496
23,22,48353338.57889982
23,23,69721153.03717694
23,24,87791722.58275376
23,25,96971458.08608542
23,26,99485680.929914
23,27,99924015.06217444
23,28,99989019.90663722
23,29,99998504.48497245
23,30,99999829.92727005
23,31,100000018.41855344
23,32,100000055.97620125
23,33,100000053.77526325
23,34,100000055.8383334
23,35,100000053.76337051
24,0,136.69148938494504
24,1,242.56222393971498
24,2,374.0311713975419
24,3,648.3442968044849
24,4,1136.2151307659738
24,5,2063.557239924989
24,6,3792.6671093061045
24,7,6907.984192646159
24,8,12720.79432336689
24,9,23467.496726035766
24,10,43294.157221256
24,11,79969.0898707782
24,12,147611.56037000832
24,13,272854.1308277882
24,14,504040.7188120983
24,15,930395.9880512113
24,16,1715254.8533388982
24,17,3150510.0073797116
24,18,5752456.540530868
24,19,10374776.881393107
24,20,18307897.541673474
24,21,31073495.69039634
24,22,49360077.59896459
24,23,70713414.73024812
24,24,88419282.94192259
24,25,97170153.29237817
24,26,99522934.50252435
24,27,99929504.0613705
24,28,99990194.05500549
24,29,99998549.193451
24,30,99999832.78754032
24,31,100000039.22183889
24,32,100000060.96033244
24,33,100000059.04016373
24,34,100000059.3079451
24,35,100000056.5342313
25,0,144.97847350965
25,1,221.46248867564833
25,2,370.17724687483565
25,3,638.1740390853042
25,4,1143.0812085379569
25,5,2063.799258068677
25,6,3787.0757721794134
25,7,6893.5765967663
25,8,12689.054453657987
25,9,23302.650735490075
25,10,43108.44508344479
25,11,79713.87974963742
25,12,147304.23188615488
25,13,272505.58892194595
25,14,503619.186190138
25,15,930911.5965680642
25,16,1716171.5761203764
25,17,3154468.0676497016
25,18,5761716.635062122
25,19,10398551.320290616
25,20,18360148.59329678
25,21,31171927.043591473
25,22,49518152.54280195
25,23,70911635.10115871
25,24,88561183.78890647
25,25,97234662.8096689
25,26,99538580.4762464
25,27,99931830.0367006
25,28,99990002.42247833
25,29,99998660.42970759
25,30,99999816.04839852
25,31,100000011.26685275
25,32,100000055.3860687
25,33,100000059.09611364
25,34,100000056.06441993
25,35,100000045.01991741
26,0,141.29427297713806
26,1,219.74269330825615
26,2,367.2839015665663
26,3,618.4342505739012
26,4,1092.8754481872206
26,5,1963.9479865631463
26,6,3606.726648968941
26,7,6607.152004403421
26,8,12148.54607291946
26,9,22465.94380924205
26,10,41412.2063797307
26,11,76326.66468910674
26,12,140808.44533960518
26,13,259808.81941822552
26,14,479733.4047007222
26,15,884901.915069732
26,16,1629973.4013737573
26,17,2992859.279133097
26,18,5462376.031690817
26,19,9855861.183003617
26,20,17419152.196245648
26,21,29674358.51832103
26,22,47459501.239971
26,23,68719029.82779193
26,24,87051361.7810308
26,25,96670616.07763827
26,26,99415327.59516259
26,27,99911100.43191189
26,28,99986809.51448712
26,29,99998132.49834795
26,30,99999815.35958022
26,31,100000012.32825853
26,32,100000058.7957346
26,33,100000049.00180213
26,34,100000059.09999207
26,35,100000054.4687548
27,0,145.30394399687685
27,1,221.9884386568379
27,2,377.86734324179065
27,3,665.4714544622545
27,4,1164.618402314509
27,5,2122.8338444443407
27,6,3874.1256367971437
27,7,7149.040953712562
27,8,13191.24728891758
27,9,24256.058492397253
27,10,44764.66899166464
27,11,82641.8355866231
27,12,152603.61793910965
27,13,282212.78864311863
27,14,521585.50183116604
27,15,963121.8311489614
27,16,1775749.8566756581
27,17,3262678.0598663446
27,18,5953715.023647987
27,19,10731051.000747023
27,20,18905348.66403522
27,21,31998979.41002561
27,22,50587079.00097184
27,23,71951609.08546123
27,24,89205780.3303824
27,25,97438425.0849398
27,26,99574920.81863311
27,27,99936371.6197457
27,28,99991146.22602779
27,29,99998654.84041063
27,30,99999810.84794816
27,31,100000030.85583423
27,32,100000041.42315319
27,33,100000048.35683142
27,34,100000048.83075094
27,35,100000046.35328293
28,0,150.10850300152524
28,1,223.5450946771413
28,2,352.80422158878605
28,3,605.3676475163995
28,4,1058.0419070381865
28,5,1935.0765909461968
28,6,3547.929607577318
28,7,6537.29672838508
28,8,12051.339305150053
28,9,22235.606203221756
28,10,41119.91617725799
28,11,76012.376372241
28,12,140620.11736258795
28,13,260301.52588239402
28,14,481231.2004308922
28,15,889469.2793639265
28,16,1640385.0974614637
28,17,3017305.5126352585
28,18,5515350.667814688
28,19,9967435.17435771
28,20,17639270.129300516
28,21,30061085.76194386
28,22,48046178.67865779
28,23,69414928.97766197
28,24,87589838.97231084
28,25,96901872.6237043
28,26,99472996.91394837
28,27,99922442.00149632
28,28,99988721.57778789
28,29,99998488.91095795
28,30,99999807.83947784
28,31,100000004.99944638
28,32,100000041.63428476
28,33,100000053.21103449
28,34,100000049.22482425
28,35,100000044.08323315
29,0,152.4000757250725
29,1,223.39491177314736
29,2,373.75488689877574
29,3,614.4836462419573
29,4,1099.200917707223
29,5,1983.0216330536707
29,6,3638.504237834799
29,7,6673.4852814075375
29,8,12250.249205442176
29,9,22550.415887819123
29,10,41583.14613857703
29,11,76894.39049899776
29,12,142151.3992607321
29,13,262721.74450216396
29,14,485681.04678053415
29,15,896437.8723131655
29,16,1652448.0571878804
29,17,3036189.7349205976
29,18,5543833.608105535
29,19,10008331.835802536
29,20,17689309.971289173
29,21,30115692.989599407
29,22,48076657.41065457
29,23,69394100.31022166
29,24,87535720.87150513
29,25,96859058.72920485
29,26,99455702.15658966
29,27,99919535.39662701
29,28,99988015.545129
29,29,99998307.00080281
29,30,99999839.67000516
29,31,100000002.89825673
29,32,100000045.43995121
29,33,100000050.4720034
29,34,100000058.73790473
29,35,100000049.12894626
30,0,143.29157094012317
30,1,218.53034556370716
30,2,366.93602322597945
30,3,640.5300685650217
30,4,1151.1277403542085
30,5,2064.793201571968
30,6,3735.874595261022
30,7,6882.228609909389
30,8,12715.762345211964
30,9,23459.52556625753
30,10,43224.00941567842
30,11,79863.06476548166
30,12,147548.1101903231
30,13,272877.1372437004
30,14,503659.53870197746
30,15,929004.2506354688
30,16,1712684.781644682
30,17,3146811.236923657
30,18,5743349.702194967
30,19,10360020.978745827
30,20,18283384.17045456
30,21,31036111.142509755
30,22,49313082.73042975
30,23,70669007.28446972
30,24,88382567.9568577
30,25,97156117.06858127
30,26,99518258.91153756
30,27,99928677.01375656
30,28,99989740.62559026
30,29,99998403.50988059
30,30,99999853.77552454
30,31,100000026.81189987
30,32,100000043.30489029
30,33,100000052.67724161
30,34,100000050.5807026
30,35,100000048.08852243
31,0,146.65784379739927
31,1,217.30024923419847
31,2,365.6343288418329
31,3,635.493399736798
31,4,1137.1648221901228
31,5,2074.6619315513544
31,6,3777.2696088921366
31,7,6929.469153388745
31,8,12752.031595836746
31,9,23598.702601847574
31,10,43610.49375350914
31,11,80558.52482211746
31,12,149012.5210437054
31,13,275227.99191017705
31,14,508802.0663286861
31,15,940070.0148130226
31,16,1733931.1624311663
31,17,3186807.2707047528
31,18,5819933.424001754
31,19,10499266.949069506
31,20,18524260.14427057
31,21,31420953.718211576
31,22,49838589.37209083
31,23,71223589.07053638
31,24,88760716.94311537
31,25,97294867.63431574
31,26,99548452.45367986
31,27,99934203.2666401
31,28,99990513.1241336
31,29,99998711.67380047
31,30,99999881.78095774
31,31,100000013.78398088
31,32,100000050.35589783
31,33,100000048.3318399
31,34,100000060.87765905
31,35,100000046.86924583
32,0,135.3529697907365
32,1,227.79066977545165
32,2,359.3340714156796
32,3,624.3666938793034
